,HD,type,species,count
0,Hox6-8,anno,DERSIL,5
1,Hox6-8,anno,HAELON,4
2,Hox6-8,anno,ECTDAV,5
3,Hox6-8,anno,DYSSIL,7
4,Hox6-8,anno,ULODIV,5
5,Hox6-8,anno,LATELE,7
6,Hox6-8,anno,PARTEP,7
7,Hox6-8,anno,HYLGRA,9
8,Hox6-8,anno,OEDGIB,7
9,Hox6-8,anno,ARGBRU,7
10,Hox6-8,anno,TRIANT,2
11,Hox6-8,anno,TRICLA,5
12,Hox6-8,anno,CARROT,10
13,Hox6-8,anno,TACGIG,10
14,Hox6-8,1.5C,DERSIL,0
15,Hox6-8,1.5C,HAELON,0
16,Hox6-8,1.5C,ECTDAV,5
17,Hox6-8,1.5C,DYSSIL,3
18,Hox6-8,1.5C,ULODIV,5
19,Hox6-8,1.5C,LATELE,7
20,Hox6-8,1.5C,PARTEP,7
21,Hox6-8,1.5C,HYLGRA,8
22,Hox6-8,1.5C,OEDGIB,6
23,Hox6-8,1.5C,ARGBRU,6
24,Hox6-8,1.5C,TRIANT,2
25,Hox6-8,1.5C,TRICLA,4
26,Hox6-8,1.5C,CARROT,4
27,Hox6-8,1.5C,TACGIG,4
28,Hox6-8,whdis,DERSIL,4
29,Hox6-8,whdis,HAELON,3
30,Hox6-8,whdis,ECTDAV,4
31,Hox6-8,whdis,DYSSIL,2
32,Hox6-8,whdis,ULODIV,5
33,Hox6-8,whdis,LATELE,7
34,Hox6-8,whdis,PARTEP,7
35,Hox6-8,whdis,HYLGRA,8
36,Hox6-8,whdis,OEDGIB,6
37,Hox6-8,whdis,ARGBRU,3
38,Hox6-8,whdis,TRIANT,0
39,Hox6-8,whdis,TRICLA,3
40,Hox6-8,whdis,CARROT,2
41,Hox6-8,whdis,TACGIG,2
42,Hox6-8,wohdis,DERSIL,0
43,Hox6-8,wohdis,HAELON,1
44,Hox6-8,wohdis,ECTDAV,0
45,Hox6-8,wohdis,DYSSIL,0
46,Hox6-8,wohdis,ULODIV,0
47,Hox6-8,wohdis,LATELE,1
48,Hox6-8,wohdis,PARTEP,0
49,Hox6-8,wohdis,HYLGRA,0
50,Hox6-8,wohdis,OEDGIB,0
51,Hox6-8,wohdis,ARGBRU,0
52,Hox6-8,wohdis,TRIANT,0
53,Hox6-8,wohdis,TRICLA,0
54,Hox6-8,wohdis,CARROT,2
55,Hox6-8,wohdis,TACGIG,1
56,Hox6-8,whpro,DERSIL,0
57,Hox6-8,whpro,HAELON,0
58,Hox6-8,whpro,ECTDAV,1
59,Hox6-8,whpro,DYSSIL,3
60,Hox6-8,whpro,ULODIV,0
61,Hox6-8,whpro,LATELE,0
62,Hox6-8,whpro,PARTEP,0
63,Hox6-8,whpro,HYLGRA,0
64,Hox6-8,whpro,OEDGIB,0
65,Hox6-8,whpro,ARGBRU,3
66,Hox6-8,whpro,TRIANT,2
67,Hox6-8,whpro,TRICLA,1
68,Hox6-8,whpro,CARROT,0
69,Hox6-8,whpro,TACGIG,0
70,Hox6-8,wohpro,DERSIL,5
71,Hox6-8,wohpro,HAELON,3
72,Hox6-8,wohpro,ECTDAV,5
73,Hox6-8,wohpro,DYSSIL,6
74,Hox6-8,wohpro,ULODIV,2
75,Hox6-8,wohpro,LATELE,2
76,Hox6-8,wohpro,PARTEP,5
77,Hox6-8,wohpro,HYLGRA,2
78,Hox6-8,wohpro,OEDGIB,7
79,Hox6-8,wohpro,ARGBRU,7
80,Hox6-8,wohpro,TRIANT,2
81,Hox6-8,wohpro,TRICLA,4
82,Hox6-8,wohpro,CARROT,4
83,Hox6-8,wohpro,TACGIG,5
84,Hox6-8,whseg,DERSIL,0
85,Hox6-8,whseg,HAELON,0
86,Hox6-8,whseg,ECTDAV,0
87,Hox6-8,whseg,DYSSIL,0
88,Hox6-8,whseg,ULODIV,0
89,Hox6-8,whseg,LATELE,0
90,Hox6-8,whseg,PARTEP,0
91,Hox6-8,whseg,HYLGRA,0
92,Hox6-8,whseg,OEDGIB,0
93,Hox6-8,whseg,ARGBRU,0
94,Hox6-8,whseg,TRIANT,0
95,Hox6-8,whseg,TRICLA,0
96,Hox6-8,whseg,CARROT,2
97,Hox6-8,whseg,TACGIG,2
98,Hox6-8,wohseg,DERSIL,0
99,Hox6-8,wohseg,HAELON,0
100,Hox6-8,wohseg,ECTDAV,0
101,Hox6-8,wohseg,DYSSIL,0
102,Hox6-8,wohseg,ULODIV,0
103,Hox6-8,wohseg,LATELE,4
104,Hox6-8,wohseg,PARTEP,0
105,Hox6-8,wohseg,HYLGRA,7
106,Hox6-8,wohseg,OEDGIB,0
107,Hox6-8,wohseg,ARGBRU,0
108,Hox6-8,wohseg,TRIANT,0
109,Hox6-8,wohseg,TRICLA,0
110,Hox6-8,wohseg,CARROT,0
111,Hox6-8,wohseg,TACGIG,2
112,Hox6-8,whsin,DERSIL,1
113,Hox6-8,whsin,HAELON,1
114,Hox6-8,whsin,ECTDAV,0
115,Hox6-8,whsin,DYSSIL,2
116,Hox6-8,whsin,ULODIV,0
117,Hox6-8,whsin,LATELE,0
118,Hox6-8,whsin,PARTEP,0
119,Hox6-8,whsin,HYLGRA,1
120,Hox6-8,whsin,OEDGIB,1
121,Hox6-8,whsin,ARGBRU,1
122,Hox6-8,whsin,TRIANT,0
123,Hox6-8,whsin,TRICLA,1
124,Hox6-8,whsin,CARROT,6
125,Hox6-8,whsin,TACGIG,6
126,Hox6-8,wohsin,DERSIL,0
127,Hox6-8,wohsin,HAELON,0
128,Hox6-8,wohsin,ECTDAV,0
129,Hox6-8,wohsin,DYSSIL,1
130,Hox6-8,wohsin,ULODIV,0
131,Hox6-8,wohsin,LATELE,0
132,Hox6-8,wohsin,PARTEP,0
133,Hox6-8,wohsin,HYLGRA,0
134,Hox6-8,wohsin,OEDGIB,0
135,Hox6-8,wohsin,ARGBRU,0
136,Hox6-8,wohsin,TRIANT,0
137,Hox6-8,wohsin,TRICLA,0
138,Hox6-8,wohsin,CARROT,0
139,Hox6-8,wohsin,TACGIG,0
140,Hox6-8,whtan,DERSIL,0
141,Hox6-8,whtan,HAELON,0
142,Hox6-8,whtan,ECTDAV,0
143,Hox6-8,whtan,DYSSIL,0
144,Hox6-8,whtan,ULODIV,0
145,Hox6-8,whtan,LATELE,0
146,Hox6-8,whtan,PARTEP,0
147,Hox6-8,whtan,HYLGRA,0
148,Hox6-8,whtan,OEDGIB,0
149,Hox6-8,whtan,ARGBRU,0
150,Hox6-8,whtan,TRIANT,0
151,Hox6-8,whtan,TRICLA,0
152,Hox6-8,whtan,CARROT,0
153,Hox6-8,whtan,TACGIG,0
154,Hox6-8,wohtan,DERSIL,0
155,Hox6-8,wohtan,HAELON,0
156,Hox6-8,wohtan,ECTDAV,0
157,Hox6-8,wohtan,DYSSIL,0
158,Hox6-8,wohtan,ULODIV,3
159,Hox6-8,wohtan,LATELE,0
160,Hox6-8,wohtan,PARTEP,2
161,Hox6-8,wohtan,HYLGRA,0
162,Hox6-8,wohtan,OEDGIB,0
163,Hox6-8,wohtan,ARGBRU,0
164,Hox6-8,wohtan,TRIANT,0
165,Hox6-8,wohtan,TRICLA,1
166,Hox6-8,wohtan,CARROT,4
167,Hox6-8,wohtan,TACGIG,2
168,Hox9-15,anno,DERSIL,1
169,Hox9-15,anno,HAELON,0
170,Hox9-15,anno,ECTDAV,2
171,Hox9-15,anno,DYSSIL,1
172,Hox9-15,anno,ULODIV,2
173,Hox9-15,anno,LATELE,2
174,Hox9-15,anno,PARTEP,2
175,Hox9-15,anno,HYLGRA,3
176,Hox9-15,anno,OEDGIB,2
177,Hox9-15,anno,ARGBRU,2
178,Hox9-15,anno,TRIANT,1
179,Hox9-15,anno,TRICLA,2
180,Hox9-15,anno,CARROT,2
181,Hox9-15,anno,TACGIG,3
182,Hox9-15,1.5C,DERSIL,0
183,Hox9-15,1.5C,HAELON,0
184,Hox9-15,1.5C,ECTDAV,2
185,Hox9-15,1.5C,DYSSIL,1
186,Hox9-15,1.5C,ULODIV,2
187,Hox9-15,1.5C,LATELE,2
188,Hox9-15,1.5C,PARTEP,2
189,Hox9-15,1.5C,HYLGRA,3
190,Hox9-15,1.5C,OEDGIB,2
191,Hox9-15,1.5C,ARGBRU,2
192,Hox9-15,1.5C,TRIANT,0
193,Hox9-15,1.5C,TRICLA,2
194,Hox9-15,1.5C,CARROT,2
195,Hox9-15,1.5C,TACGIG,3
196,Hox9-15,whdis,DERSIL,0
197,Hox9-15,whdis,HAELON,0
198,Hox9-15,whdis,ECTDAV,2
199,Hox9-15,whdis,DYSSIL,1
200,Hox9-15,whdis,ULODIV,2
201,Hox9-15,whdis,LATELE,2
202,Hox9-15,whdis,PARTEP,2
203,Hox9-15,whdis,HYLGRA,1
204,Hox9-15,whdis,OEDGIB,2
205,Hox9-15,whdis,ARGBRU,2
206,Hox9-15,whdis,TRIANT,0
207,Hox9-15,whdis,TRICLA,2
208,Hox9-15,whdis,CARROT,0
209,Hox9-15,whdis,TACGIG,1
210,Hox9-15,wohdis,DERSIL,1
211,Hox9-15,wohdis,HAELON,0
212,Hox9-15,wohdis,ECTDAV,0
213,Hox9-15,wohdis,DYSSIL,0
214,Hox9-15,wohdis,ULODIV,0
215,Hox9-15,wohdis,LATELE,0
216,Hox9-15,wohdis,PARTEP,0
217,Hox9-15,wohdis,HYLGRA,0
218,Hox9-15,wohdis,OEDGIB,0
219,Hox9-15,wohdis,ARGBRU,0
220,Hox9-15,wohdis,TRIANT,0
221,Hox9-15,wohdis,TRICLA,0
222,Hox9-15,wohdis,CARROT,0
223,Hox9-15,wohdis,TACGIG,0
224,Hox9-15,whpro,DERSIL,0
225,Hox9-15,whpro,HAELON,0
226,Hox9-15,whpro,ECTDAV,0
227,Hox9-15,whpro,DYSSIL,0
228,Hox9-15,whpro,ULODIV,0
229,Hox9-15,whpro,LATELE,0
230,Hox9-15,whpro,PARTEP,0
231,Hox9-15,whpro,HYLGRA,2
232,Hox9-15,whpro,OEDGIB,0
233,Hox9-15,whpro,ARGBRU,0
234,Hox9-15,whpro,TRIANT,0
235,Hox9-15,whpro,TRICLA,0
236,Hox9-15,whpro,CARROT,0
